fold,model,accuracy,Drug_precision,Drug_recall,Drug_f1,Exhale_precision,Exhale_recall,Exhale_f1,Inhale_precision,Inhale_recall,Inhale_f1,Noise_precision,Noise_recall,Noise_f1
1,RF,0.8824162950646209,0.5359116022099447,0.13997113997113997,0.2219679633867277,0.7784505511566527,0.6514226321943615,0.7092941010043854,0.8633890791859762,0.8354455059465783,0.8491874752279033,0.9024166041752341,0.9467072706509326,0.9240315069850391
2,RF,0.8915614843927141,0.6536312849162011,0.1703056768558952,0.2702078521939954,0.7677340278841734,0.6927969030830914,0.7283430232558139,0.8435557397430584,0.8570526315789474,0.850250626566416,0.917713567839196,0.9436577731405574,0.9305048624549886
3,RF,0.9011790492026301,0.5722543352601156,0.13730929264909847,0.2214765100671141,0.8519668737060041,0.6803527142463489,0.7565497165619733,0.870148637489678,0.8376391096979332,0.8535844471445929,0.9128731210372587,0.9631448400270588,0.9373354140251634
4,RF,0.8828886705464439,0.5862068965517241,0.09561304836895389,0.1644100580270793,0.769205407187603,0.6581100141043723,0.7093341441167528,0.7961377662751343,0.8620392325932313,0.8277789277582281,0.9109138882225953,0.9421922294447477,0.9262890872725499
5,RF,0.8957939687098481,0.6453900709219859,0.1103030303030303,0.18840579710144928,0.8042839868716531,0.6806022511328753,0.7372921615201901,0.8158736505397841,0.8600632244467861,0.8373858623166103,0.9187702419508478,0.9523116036827685,0.9352402884673656
1,SVM,0.8300770916786335,0.19188993482983346,0.7647907647907648,0.3068017366136035,0.5968693867077239,0.906586981941016,0.7198266969259336,0.7947855340622372,0.9212322090076038,0.8533501896333755,0.9745434421693414,0.8044156832889228,0.8813446219293489
2,SVM,0.832797974453934,0.22547056467761314,0.8195050946142649,0.353643216080402,0.5805493021161638,0.8913313977602655,0.703130112335042,0.7641230662263166,0.9254736842105263,0.8370941635723127,0.9731895498823319,0.8115715208426492,0.8850629207699497
3,SVM,0.849255536240647,0.23736968724939855,0.8210818307905686,0.3682737169517885,0.6279491833030852,0.9057591623036649,0.7416934619506966,0.7714939522719844,0.9379968203497615,0.8466367713004485,0.9768637532133676,0.8283015558840479,0.8964694397743912
4,SVM,0.8300393016400877,0.265282131661442,0.7615298087739033,0.3934902644580064,0.5901623777419048,0.8765867418899859,0.7054083196186368,0.7025193798449613,0.937702090967881,0.8032499307543163,0.9714107402894588,0.8109710713045204,0.8839699817456561
5,SVM,0.8481974151613635,0.2931431201104464,0.7721212121212121,0.42494996664442963,0.5952357802625182,0.8948984066656922,0.7149363540815135,0.7437261093568224,0.9430979978925185,0.8316298085857647,0.9769804638741327,0.830745686569743,0.8979482938021931
